fecha,cierre
2026-06-01,58.7000
2026-06-02,58.2000
2026-06-03,57.2000
2026-06-04,57.1000
2026-06-05,57.5000
2026-06-08,57.9000
2026-06-09,58.0000
2026-06-10,59.1000
2026-06-11,58.8000
2026-06-12,59.0000
2026-06-15,58.6000
2026-06-16,58.3000
2026-06-17,57.4000
2026-06-18,57.4000
2026-06-19,57.4000
2026-06-22,57.9000
2026-06-23,58.0000
2026-06-24,58.8000
2026-06-25,58.1000
2026-06-26,58.6000
2026-06-29,58.5000
2026-06-30,58.4000
2026-07-01,58.4000
2026-07-02,58.9000
2026-07-03,58.7000
2026-07-06,57.5000
2026-07-07,57.7000
2026-07-08,57.2000
2026-07-09,57.0000
2026-07-10,55.1000
2026-07-13,55.2000
2026-07-14,55.0000
2026-07-15,55.0000
2026-07-16,56.1000
2026-07-17,56.2000
2026-07-20,55.7000
2026-07-21,55.9000
2026-07-22,56.3000
2026-07-23,55.9000
2026-07-24,55.7000
2026-07-27,55.6000
2026-07-28,56.2000
2026-07-29,56.3000
2026-07-30,57.7000
2026-07-31,57.4000
2026-08-03,57.3000
2026-08-04,56.8000
2026-08-05,56.6000
2026-08-06,56.7000
2026-08-07,57.4000
2026-08-10,57.2000
2026-08-11,56.9000
2026-08-12,56.9000
2026-08-13,56.6000
2026-08-14,56.7000
2026-08-17,56.0000
2026-08-18,56.5000
2026-08-19,56.6000
2026-08-20,56.9000
2026-08-21,57.1000
2026-08-24,57.5000
